Preguntas,Autores,Respuestas,Vistas
Uniqueness-proof,solution-verification,0,2
3 eggs 100 floors - the least tries to find the floor which eggs broke,eeqesri,0,7
How can they add $SOS$ in inequality?,education,0,6
Help solving a system of ODE,Ali,0,5
Probability math question (independent and mutally exclusive events),inequality,0,5
Help me understand the integral $\dfrac{1}{4\pi} \int_{t}^{\infty} {\dfrac{dr}{r} \int_{|x-y| = r} {\alpha(y)dS_y}}$ while studying wave equation,Lục Trường Phát,0,3
Problem in Understanding the Concept of Significant Figures in Numerical Mathematical Analysis,ordinary-differential-equations,0,8
Equivalence of the LDL decomposition with an upper-triangular or lower-triangular matrix,systems-of-equations,0,3
Where does this factor of $\pi$ come from in the period of small oscillations about equilibrium points?,Al Cedo,0,9
Limit of a function with identity functions,probability,0,5
Why are these 2 answers different. why may mine be wrong?,Sukhjeet Singh,0,1
What are the rules being applied to the following limits equation solution,multivariable-calculus,0,6
"What is the mathematical technique, or a branch in mathematics that represents fitting a line on to a set of points such that it becomes a polygon?",improper-integrals,0,1
I have 31 players but can only select 22 in a match day squad in a rugby team that has 15 players.,polar-coordinates,0,8
"What is the 30th permutation of 1,3,5,7,9?",wave-equation,0,1
Search a closed form for a recursive sequence,H-a-y-K,0,1
Basis of linear maps $\mathbb{Z}^n \rightarrow \mathbb{Z}^m$,numerical-methods,0,2
"For which $r,n$ is the finite geometric series $(1-r^{n+1})/(1-r)$ a perfect power?",definition,0,8
Probability distribution for bounded choice,significant-figures,0,7
Birthday Problem: Confusion between PMF and CDF -,Thomas Finley,0,8
"""square root"" of commutator",linear-algebra,0,1
"Can the steps used to solve for the Echelon form result in different answers, or will they always yield the same answer?",matrices,0,7
Odd equidissection of semisquare,matrix-decomposition,0,7
Range of the function f(x) = (lnx)/(sqrt(x)) is [closed],cholesky-decomposition,0,1
Definition of finite-dimensional 'self-dual algebra' over a field,Alexlok,0,1
how to solve a matrix from matrix vector multiplication,physics,0,1
Cocenter is a free module over the center in a semisimple ring,classical-mechanics,2,6
"Closed form solution for $\displaystyle{\sum_{n=1}^\infty\binom{2n}{n}\zeta(m,n+1)x^n}$",perturbation-theory,0,2
Find the simmetri matrix $P$ which is the projection on $V$,masjgomz,0,8
"If every sequence of points of A admits a convergent subsequence, then every infinite subset of A has an accumulation point.",real-analysis,0,1
(Short-Time) Fourier Transform: some notational problem.,functions,0,1
$j$-invariant of a genus one curve defined over $k$,Lopsio,0,9
Probability of drawing candies in a certain order using permutations,integration,0,1
Poisson processes and probabilities,aryan_01104,3,9
boundness of first eigen function,calculus,0,1
"Notation / terminology for the group of all radicals $\sqrt[n]{a/b}$ where $a,b,n$ are positive integers",limits,0,2
How to compute the second derivative of a function of a stochastic process?,Gjergj Kadriu,0,1
Induced representation -- Exercise 3.16 Fulton Harris,convex-optimization,0,1
Improve the bound of a Lipschitz function,polygons,0,1
