Preguntas,Autores,Respuestas,Vistas
Reusing symbols in proof by cases,proof-writing,0,5
Mean value theorem trigo proof question,Cynicrom,0,6
Pose quadratic equation with matrix coefficients in eigenvalue form,calculus,0,4
Foliation of $S^3$ with Leaves $S^1$,mean-value-theorem,0,5
Memoryless property of exponentially distributed waiting times in two queues,Ofir Avisar,0,4
"Has Anyone Ever Heard Of The ""Weighted Median""?",linear-algebra,0,1
Invariant event of stationary processes,eigenvalues-eigenvectors,0,3
Spectrum of $A + s N$ constant in $s$ when?,matrix-equations,0,8
$\lim_{x\to \infty} \left(\int_0^x e^{t^2} dt\right)^{\frac 1 {x^2}}$,generalized-eigenvector,0,2
Extending Takeuti's proof of the completeness theorem to sentences with constants.,George,0,7
Is it possible to divide a 5x5 square into exactly eight 1x3 rectangular blocks and one 1x1 square block? [closed],differential-geometry,0,1
Motivation for Connections over smooth manifolds,differential-topology,0,8
Compare real analysis textbooks,smooth-manifolds,0,1
Morphisms to the constant adic space associate to a profinite set,foliations,0,6
Combinations of $n$ rocks from $m$ places,LiminalSpace,0,2
Quadrant of matrix inverse with special initialization,probability,0,5
Why is $\sqrt(-i^2) = 1 $ and not -1? [duplicate],probability-distributions,0,2
"Two questions about a proof on this site: show $\displaystyle\lim_{n\to\infty} \int_{0}^{\infty} \frac{x^{1/n}}{(1+\frac{x}{n})^{n}} \,dx = 1$.",exponential-distribution,0,2
What is the probability of seeing $7$ heads in the toss of $12$ coins?,Heng Wei,0,3
Neyman-Pearson Lemma clarification,probability,0,1
Is there a mistake in a GRE preparation book?,stats_noob,0,6
Fibonacci-esque sequences modulo $1$: what is the largest possible smallest element?,probability-theory,0,3
Proving $\overline{(x-\overline x)(y-\overline y)}=\overline{xy}-\overline x \cdot \overline y$,ergodic-theory,0,5
Which LAPACK routine should I use if I only want to compute the eigenvectors?,stationary-processes,0,1
Commutativity relation on forms,Shunan Sheng,0,4
"For $T\in L(V,W)$, prove that there are bases such that $M(T)$ is 1 on the first dim range $T$ elements of the diagonal and zero everywhere else.",linear-algebra,0,2
Existence of complete subgraphs of a complete graph,abstract-algebra,0,1
Show the Euclidian projection onto a closed set is a Lipschitz function,matrices,0,2
Continuity at a point doesn’t imply continuity at some small interval around it,orangeskid,0,5
does it exist a recurrence relation for all/some of the integer solutions of Diophantine ec: bXY=f?,real-analysis,0,1
Compute a series with a Fourier series,limits,0,2
Length of the GCD of two strings [duplicate],exponential-function,0,3
retractions of circle,Robert,0,2
Alternate method to solve the expected number of connected components,first-order-logic,0,1
Root representation using the factorization of polynomials upto degree six,proof-theory,0,2
